,average_monthly_cost_$,average_yearly_temperature,internet_speed_mbps,safety_index,Healthcare Index
afghanistan,960.5449999999998,18.1,3.88,24.9,24.24
albania,518.9164285714286,22.2,81.41,55.3,48.21
algeria,356.0455,22.8,16.54,47.4,54.43
andorra,1257.4599999999998,11.1,113.41333333333334,84.7,75.56
angola,740.635,27.1,22.91,33.7,36.58
argentina,503.73125,15.1,93.38,36.6,68.0
armenia,1347.52,18.4,60.72,77.9,58.07
australia,1870.925,12.4,80.49,52.7,73.35
austria,1517.2375,14.6,100.45,70.5,77.83
azerbaijan,410.8633333333334,19.0,69.32,68.2,48.31
bahamas,2080.87,25.3,69.93,43.1,39.52
bahrain,1504.4450000000002,29.7,88.85,75.5,66.6
bangladesh,265.08625,29.9,53.12,38.4,42.2
barbados,1182.33,27.6,97.36,55.1,71.88
belarus,545.1325,12.1,77.78,50.2,48.5
belgium,1420.446428571429,13.0,116.69,50.6,75.76
belize,736.4425,23.0,47.75,47.3,47.37
bolivia,600.57125,18.0,47.5,35.0,45.98
bosnia & herzegovina,525.1894444444445,15.9,33.59,58.3,55.62
botswana,633.945,27.3,15.6,47.3,61.12
brazil,567.8301960784314,25.8,188.06,35.5,59.21
brunei,1057.45,28.1,77.95,70.7,75.37
bulgaria,577.4528125,17.8,87.4,63.9,58.15
cambodia,773.6125000000001,30.5,47.51,48.7,50.71
cameroon,483.095,26.1,8.92,34.5,45.53
canada,1757.8511875,6.0,237.86,54.3,68.82
chile,782.9659090909091,11.0,279.53,39.5,63.52
china,667.4233750000001,15.6,244.67,76.0,68.53
colombia,412.5582352941177,13.5,166.19,39.1,68.44
congo,3337.605,29.3,38.45,37.199999999999996,68.52
congo,3337.605,29.3,38.45,35.5,25.69
congo,3337.605,29.3,38.45,37.199999999999996,68.52
congo,3337.605,29.3,38.45,35.5,25.69
costa rica,789.4725,18.7,119.19,45.9,64.29
croatia,835.6169230769231,16.4,93.3,74.5,64.66
cuba,996.235,23.7,3.23,65.6,59.3
cyprus,1336.57,26.0,97.22,66.9,57.13
czech republic,1085.8925,12.8,80.16,73.5,75.47
denmark,1684.9137500000002,12.0,254.75,74.0,78.5
dominica,806.3,27.1,92.73,60.166666666666664,36.57
dominican republic,823.6816666666667,24.7,45.35,39.5,58.26
ecuador,671.301,10.8,110.44,37.5,75.39
egypt,267.58625,27.8,84.52,52.7,47.32
el salvador,604.7941666666667,22.6,80.64,41.4,51.67
estonia,809.7568749999999,10.9,92.42,76.3,75.93
ethiopia,1016.96,21.0,9.82,49.3,53.46
finland,1276.3040909090907,10.6,146.6,73.2,77.57
france,1319.2734615384616,14.1,290.75,44.6,77.78
gabon,1449.5300000000002,28.0,42.84,35.5,31.48
georgia,1011.415,18.3,41.71,73.7,56.34
germany,1371.1502439024391,13.9,96.33,60.6,71.97
ghana,529.2175,28.7,51.24,54.6,57.38
greece,949.047142857143,23.5,65.51,53.6,58.2
guatemala,719.6233333333333,17.1,64.11,42.3,67.33
guyana,748.245,25.2,93.28,33.7,37.65
haiti,1793.2600000000002,23.2,45.19,21.1,32.72
honduras,702.6816666666667,18.7,67.29,28.0,37.83
hong kong,2950.9300000000003,26.866666666666664,312.48,78.5,66.06
hungary,644.7327083333333,16.1,215.3,66.3,54.07
iceland,1910.4266666666665,5.8,295.55,74.3,67.63
india,279.6502272727273,30.2,61.66,55.7,65.43
indonesia,457.0665625,27.0,32.38,54.0,60.84
iran,1553.201923076923,19.2,16.68,49.5,52.62
iraq,621.224375,30.8,33.16,56.9,45.9
ireland,1983.3175,11.6,148.37,52.4,51.38
israel,1813.793,24.0,229.65,68.2,73.34
italy,1183.7369680851064,21.0,92.61,53.1,65.13
ivory coast,1001.595,21.366666666666664,59.93,43.6,44.44
jamaica,763.2625,27.3,85.11,32.6,51.52
japan,1205.4,18.7,217.11,77.1,79.81
jordan,617.6899999999999,23.4,168.38,60.0,65.23
kazakhstan,473.1175,7.2,80.03,54.8,60.65
kenya,435.08600000000007,23.8,14.93,44.0,61.54
kosovo,548.9783333333334,17.966666666666665,82.67,59.2,68.47
kuwait,1358.53,31.7,193.53,67.2,57.93
kyrgyzstan,496.09,14.966666666666669,75.97,45.7,57.62
laos,927.87,25.0,38.89,35.5,34.44
latvia,865.1291666666666,12.2,96.09,62.9,62.4
lebanon,1248.77,23.9,14.73,53.2,63.69
libya,352.75333333333333,27.0,10.19,43.6,45.45
liechtenstein,2377.705,11.2,188.07,52.666666666666664,70.37
lithuania,857.71,11.8,124.13666666666667,67.6,74.95
luxembourg,2328.59,11.6,178.4,65.8,75.24
madagascar,721.6199999999999,27.8,29.19,34.63333333333333,39.32
malaysia,564.72,28.6,135.64,51.1,70.37
maldives,1405.65,27.9,18.54,45.9,45.94
malta,1376.9399999999998,23.4,163.28,57.0,52.12
mauritania,701.48,24.7,19.46,46.6,46.76
mauritius,520.5799999999999,26.4,51.96,50.0,65.18
mexico,720.9504081632653,13.9,83.97,46.6,72.39
moldova,399.65,16.3,147.9,55.7,52.12
monaco,6790.835,18.8,39.50333333333333,76.7,75.0
mongolia,420.215,1.2,75.95,47.9,51.63
montenegro,800.95875,20.6,96.78,64.6,41.05
morocco,474.76375,21.0,36.37,52.2,46.87
mozambique,1580.3300000000002,27.7,17.68,39.9,41.15
myanmar,844.2308333333334,29.7,26.66,49.1,48.6
namibia,765.515,26.3,13.6,36.5,65.07
nepal,277.13875,21.5,74.66,63.3,57.7
netherlands,1826.7151612903224,13.1,202.75,73.1,79.47
new zealand,1472.5493333333332,13.2,175.54,51.8,68.61
nicaragua,555.03,24.2,83.13,49.2,61.57
nigeria,1229.408,29.8,26.08,33.4,48.17
north macedonia,440.3970833333333,19.3,48.0,58.9,55.12
norway,1770.698,7.7,153.33,67.0,75.65
oman,1100.21,30.8,84.66,81.7,65.11
pakistan,227.355,28.0,15.86,56.3,59.38
panama,961.135,25.6,168.44,57.3,60.66
papua new guinea,3002.38,26.2,45.68,19.7,23.86
paraguay,614.9699999999999,21.9,95.79,40.2,64.52
peru,590.495,17.7,200.79,32.9,56.28
philippines,622.0938095238095,29.1,94.4,56.9,67.2
poland,853.6701428571428,14.0,183.02,71.0,57.92
portugal,1074.16640625,18.6,207.95,67.9,72.42
qatar,1988.76,32.1,192.83,84.2,73.45
romania,601.5911666666667,18.0,237.61,67.7,56.51
russia,774.0392857142857,11.8,90.4,61.3,61.41
rwanda,677.4250000000001,26.3,41.3,73.1,72.87
saudi arabia,901.7116666666668,32.1,121.87,76.1,61.71
senegal,1216.08,25.7,24.01,34.53333333333333,48.38
serbia,555.6665789473684,17.6,90.89,62.8,51.96
singapore,3434.5750000000003,28.8,345.33,77.4,71.9
slovakia,887.8055,15.0,92.27,69.0,58.6
slovenia,984.7454166666666,14.8,97.18,76.2,66.26
somalia,605.18,28.8,17.82,36.1,40.49
south africa,807.2349999999999,24.1,48.49,25.3,63.83
south korea,904.8475,14.2,199.34,75.1,82.78
spain,1142.1048181818182,18.2,247.94,63.4,77.26
sri lanka,244.798,29.5,24.97,57.9,71.36
